,contentsid,title,roadaddress,tag,introduction,latitude,longitude,contentscd.label,phoneno,repPhoto.photoid.imgpath,repPhoto.photoid.thumbnailpath,인기점수,tag_len,popular_tag,len
4051,CNTS_000000000020072,제주김만복(만복이네김밥집),제주특별자치도 제주시 오라로 41,"['전복김밥', '통전복주먹밥', '미역국', '음식', '해물라면', '라면']","전복내장으로 만든 김밥, 심플한 메뉴로 많은 여행객들에게 사랑받는 곳",33.4970489,126.5087309,음식점,064-759-8582,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/dbd4e45a-3b53-444c-b0dd-740840f9d749.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/40ae8c39-9888-4a75-84b7-23be785115a5.jpg,144324.0,26,"음식,라면,해물라면",10
3548,CNTS_000000000018337,봄날카페,제주특별자치도 제주시 애월읍 애월로1길 25,"['카페', '커피', '음료', '음식', '콜드브루', '아메리카노', '바닐라라떼', '카페라떼', '아인슈페너', '카푸치노', '카페모카', '카라멜마끼아또', '아이스티']",드라마 '맨도롱 또똣'의 주인공이 일하던 카페,33.46246,126.30959,음식점,064-799-4999,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/88f3b319-b8d8-4618-bc75-7202ba68a578.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/cee2e88e-7b94-4fcd-b23b-edbeef415414.jpg,121065.0,62,"아메리카노,카페모카,바닐라라떼,카푸치노,음료,카페,커피,음식,카페라떼",38
3990,CNTS_000000000020099,올래국수,제주특별자치도 제주시 귀아랑길 24 (연동),"['고기국수', '한식', '향토음식', '음식']",제주 향토 음식인 고기국수 전문점이다. 2016 KOREAT JEJU TOP 10 선정,33.4915,126.4973,음식점,064-742-7355,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/0080b083-ce7c-459d-a78e-5d1b6b87d5ff.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/b260b806-c465-44fe-bfcb-feaec817ad53.jpg,119913.0,15,"한식,음식,향토음식,고기국수",15
3505,CNTS_000000000020047,명진전복,제주특별자치도 제주시 구좌읍 해맞이해안로 1282,"['전복', '돌솥밥', '회', '음식', '전복해물탕', '전복죽', '전복뚝배기', '전복버터구이', '전복물회']",제주도 대표 전복요리 전문점 2016 KOREAT JEJU TOP10 선정,33.53242,126.84985,음식점,064-782-9944,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ef12eb59-756e-4e9b-a227-60eb3fbd8cf4.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/58008d96-a5b2-4bd0-a392-0e753b33267b.gif,92336.0,39,"전복죽,전복물회,회,음식,전복뚝배기,전복",22
4170,CNTS_000000000019253,몽상드애월(몽상),제주특별자치도 제주시 애월읍 애월북서길 56-1,"['카페', '커피', '음료', '디저트', '음식', '아메리카노', '에스프레소', '카페모카', '카라멜마끼아또', '밀크티', '에이드']",제주 애월 한담에 위치하여 멋진 바다경관을 감상할 수 있는 해안로의 카페,33.463326,126.309204,음식점,064-799-0090,https://api.cdn.visitjeju.net/photomng/imgpath/201909/30/fd3e8aae-900d-4cfb-8442-d59790e0da13.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201909/30/b1d99bae-68fe-406a-8871-2bb99f3f968a.jpg,87526.0,48,"아메리카노,디저트,카페모카,음료,카페,커피,음식,에스프레소,에이드",36
3733,CNTS_000000000020104,돈사돈,제주특별자치도 제주시 우평로 19,"['근고기', '연탄구이', '목살', '오겹살', '흑돼지', '음식', '삼겹살']","제주 흑돼지 근고기 연탄구이집으로, 양질의 고기뿐만 아니라 연예인들의 방문 후기와 TV출연으로도 유명해진 곳, KOREAT JEJU TOP10 선정",33.47887,126.46408,음식점,064-746-8989,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/64a751af-12ab-49b6-8d52-7d753a0be7ee.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/9fd347c1-f73d-45fe-80e0-79e714f7c758.gif,78416.0,26,"음식,오겹살,목살,삼겹살,흑돼지",17
3460,CNTS_000000000018357,서연의집(영화 건축학개론),제주특별자치도 서귀포시 남원읍 위미해안로 86,"['카페', '커피', '아메리카노', '음식', '디저트', '빵', '와플', '에스프레소', '카페모카']",영화 '건축학개론' 속 서연의 집을 리모델링하여 오픈한 카페&갤러리,33.269413,126.655876,음식점,064-764-7894,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/6ad03b5e-ddb1-466d-b18f-48ee6661c1bd.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/743dbc0b-85bf-47f5-bd58-b7228e6917f3.jpg,75414.0,34,"아메리카노,디저트,카페모카,카페,커피,음식,빵,에스프레소",31
4053,CNTS_000000000020103,순옥이네 명가,제주 제주시 도공로 8,"['전복물회', '성게미역국', '해물뚝배기', '전복', '성게', '음식', '전복뚝배기']",도두동에 위치한 전복요리전문집 2016 KOREAT JEJU TOP10 선정,33.505558,126.465065,음식점,064-743-4813,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/789bdb61-a9a6-409b-9695-d661d6a12cb5.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/2b4d1373-58b4-4e82-ab2d-eaf11469c47a.gif,72581.0,31,"해물뚝배기,전복물회,음식,전복뚝배기,전복,성게미역국",28
4175,CNTS_000000000018307,가시아방,제주특별자치도 서귀포시 성산읍 섭지코지로 10,"['고기국수', '비빔국수', '향토음식', '음식']",제주도 사투리로 장인이라는 뜻의 가시아방은 고기국수와 돔베고기가 유명한 성산읍 맛집,33.4242095,126.931111,음식점,064-783-0987,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/4f60ac3e-9226-4b77-af1e-e75a814ec889.jpeg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/ddc8e75e-c2c6-482e-b3eb-3c0468973a88.jpeg,70598.0,17,"향토음식,음식,고기국수",12
3870,CNTS_000000000001172,춘심이네,제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16,"['무슬림', '갈치조림', '통갈치', '은갈치', '음식', '제주갈치조림', '제주갈치구이', '갈치구이', '안전여행스탬프']",서귀포시 안덕면에 위치한 제주 은갈치 본연의 맛을 느낄 수 있는 음식점,33.2647887,126.3707772,음식점,064-794-4010,https://api.cdn.visitjeju.net/photomng/imgpath/202205/30/e3bda02d-b09c-4f3e-b54c-afcb0dbc9f17.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202205/30/74e75269-3ccd-4bc1-a813-564ad289f0b1.jpg,54610.0,46,"제주갈치구이,갈치구이,음식,갈치조림",19
