,id,title,address,introduction,latitude,longitude,dial_num,type,region1,region2,image_url,score,nature,outdoor,fatigue,sea,walking,exciting,day,culture,group,tag
0,1,사려니숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1,"제주 숨은 비경 31, 삼나무 향기에 취하며 걷는 아름답고 청정한 숲길",33.40845,126.63976,064-900-8800,관광지,제주시,조천,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/552458b3-55a3-4589-b2e7-d8f29d1ca277.jpg,1276524.0,2,2,1,1,3,1,0,0,8,"자연경관,커플,봄,흐림,걷기/등산,도보,친구"
1,2,우도(해양도립공원),제주특별자치도 제주시 우도면 삼양고수물길 1,소가 누워있는 형상을 하고 있는 제주의 가장 큰 부속섬,33.51949,126.95109,064-728-1527,관광지,섬 속의 섬,우도,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/dd51e08a-a970-466a-972e-f47f405ca644.jpg,1188600.0,3,3,3,1,3,0,3,0,7,"자연경관,맑음,아이,포토스팟"
2,3,성산일출봉(UNESCO 세계자연유산),제주특별자치도 서귀포시 성산읍 일출로 284-12,"바다위에 우뚝 솟아난 수성화산·유네스코 세계자연유산, 천연기념물 제420호, 올레1코스",33.462147,126.936424,064-783-0959,관광지,서귀포시,성산,https://api.cdn.visitjeju.net/photomng/imgpath/201810/17/c072ee1a-2a02-4be7-b0cd-62f4daf2f847.gif,1027366.0,3,3,3,0,3,0,3,1,7,"부모,자연경관,포토스팟"
3,4,비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,천년의 세월이 녹아든 신비로움 가득한 비자림은 500~800년생 비자나무들이 자생하는 세계적으로도 희귀한 장소다. 벼락 맞은 나무부터 긴 세월이 느껴지는 아름드리 나무까지 다양한 비자나무를 만날 수 있다. ,33.491318,126.811386,064-710-7912,관광지,제주시,구좌,https://api.cdn.visitjeju.net/photomng/imgpath/202002/26/ec450675-3426-4159-b3da-d3c62d7a2273.jpg,916549.0,2,3,3,1,3,0,3,0,7,"자연경관,흐림,걷기/등산,아이,여름"
4,5,천지연폭포,제주특별자치도 서귀포시 남성중로 2-15,"하늘과 땅이 만나서 이룬 연못, 
· 천연기념물 제163호
· 천연기념물 제27호
· 올레6코스",33.2447173,126.5598201,064-733-1528,관광지,서귀포시,서귀포시내,https://api.cdn.visitjeju.net/photomng/imgpath/201907/11/7142cf44-ac03-420f-b07d-b83e06e8bfb9.jpg,645261.0,3,3,1,1,1,0,0,0,8,"자연경관,맑음,부모,포토스팟,여름"
5,6,만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182,"세계적인 규모의 용암동굴, 유네스코 지정 세계자연유산",33.5548185,126.7969015,064-710-7903,관광지,제주시,구좌,https://api.cdn.visitjeju.net/photomng/imgpath/202110/28/fd081f64-29a7-4a48-a4fa-cdc69e3552a2.JPG,612892.0,3,2,1,1,2,1,3,1,1,"자연경관,포토스팟,흐림,아이,여름"
6,7,새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8,제주 서부 애월에 위치해 있으며 억새가 아름다운 오름,33.36723,126.35711,064-728-2752,관광지,제주시,애월,https://api.cdn.visitjeju.net/photomng/imgpath/202110/20/380f2ed7-9680-4f51-a5f7-1c52771d3c11.jpg,462211.0,3,2,0,1,0,0,2,1,3,"자연경관,봄,도보,걷기/등산,아이"
7,8,협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,"비양도, 은모래, 바다가 그려낸 그림같이 아름다운 해변",33.393845,126.239716,064-728-3981,관광지,제주시,한림,https://api.cdn.visitjeju.net/photomng/imgpath/202110/20/32ec3ee6-fad9-440d-95ea-628ff6453a48.jpg,444882.0,2,3,2,3,2,2,3,0,9,"자연경관,체험,해변,맑음,액티비티,아이,여름"
8,9,섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,아름다운 해안이 일품인 섭지,33.4305782,126.9277688,064-740-6000,관광지,서귀포시,성산,https://api.cdn.visitjeju.net/photomng/imgpath/201908/29/83d7988d-9df2-4540-acbe-23d8b3550bfe.jpg,403859.0,3,3,3,1,3,0,3,0,7,"자연경관,커플,맑음,포토스팟,해변,가을"
9,10,카멜리아힐,제주 서귀포시 안덕면 병악로 166,"카멜리아힐은 동양에서 가장 큰 동백 수목원으로 토종 동백부터 아기 동백, 유럽 동백 등 80여 개국 500여 품종의 수많은 동백꽃을 만날 수 있다. 수목원 안에 아기자기한 포토 스폿이 많아 연인과 가족 단위 관광객에게 특히 인기가 높다. 동백꽃이 피는 계절이면 흐드러지게 피어난 동백꽃을 배경으로 멋진 인생 사진을 남기기 위해 찾아드는 발걸음이 끊이지 않는다.",33.289135,126.37011,064-792-0088,관광지,서귀포시,안덕,https://api.cdn.visitjeju.net/photomng/imgpath/202110/20/fb0a5c04-e09e-4dee-8d9e-68c4ad774388.JPG,387309.0,2,2,1,1,3,1,2,0,1,"자연경관,커플,맑음,포토스팟,아이"
10,11,거문오름(UNESCO 세계자연유산),제주특별자치도 제주시 조천읍 선교로 569-36,대한민국 유일의 세계자연유산 거문오름,33.45307315049369,126.72350785986328,064-710-8981,관광지,제주시,조천,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/e05943ea-8718-4891-bfdb-22ebf6008788.jpg,378617.0,3,3,2,0,3,0,2,1,7,"자연경관,커플,혼자,맑음,부모,도보,친구"
11,12,함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 519-10,에매랄드처럼 빛나는 '한국의 몰디브',33.54379,126.668846,064-728-3989,관광지,제주시,조천,https://api.cdn.visitjeju.net/photomng/imgpath/201908/29/6fa8ac92-91b1-4314-a05e-0c962f9ab2f8.jpg,355426.0,2,3,2,3,3,2,3,0,9,"자연경관,체험,해변,맑음,액티비티,아이,여름"
12,13,월정리해변,제주특별자치도 제주시 구좌읍 월정리 33-3,'달이 머물다 가는’ 제주도의 아름다운 해변,33.555809408904416,126.79662397696836,064-728-3394,관광지,제주시,구좌,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ec362343-4c4b-4da2-905d-1d4be8b26d44.jpg,326328.0,2,3,1,3,3,1,3,0,9,"자연경관,커플,포토스팟,해변,여름"
